src,dest
/wiki/Green_tea,/wiki/Okowa
/wiki/Green_tea,/wiki/Omurice
/wiki/Green_tea,/wiki/Onigiri
/wiki/Green_tea,/wiki/Tenmusu
/wiki/Green_tea,/wiki/Onsen_tamago
/wiki/Green_tea,/wiki/Osechi
/wiki/Green_tea,/wiki/Japanese_rice
/wiki/Green_tea,/wiki/Glutinous_rice
/wiki/Green_tea,/wiki/Germinated_brown_rice
/wiki/Green_tea,/wiki/Congee
/wiki/Green_tea,/wiki/Red_bean_rice
/wiki/Green_tea,/wiki/Takikomi_gohan
/wiki/Green_tea,/wiki/Zosui
/wiki/Green_tea,/wiki/Sashimi
/wiki/Green_tea,/wiki/Fugu
/wiki/Green_tea,/wiki/Shabu-shabu
/wiki/Green_tea,/wiki/Shirataki_noodles
/wiki/Green_tea,/wiki/Soki
/wiki/Green_tea,/wiki/Sukiyaki
/wiki/Green_tea,/wiki/Sushi
/wiki/Green_tea,/wiki/History_of_sushi
/wiki/Green_tea,/wiki/Sustainable_sushi
/wiki/Green_tea,/wiki/Takoyaki
/wiki/Green_tea,/wiki/Tamagoyaki
/wiki/Green_tea,/wiki/Tempura
/wiki/Green_tea,/wiki/Tokoroten
/wiki/Green_tea,/wiki/Tonkatsu
/wiki/Green_tea,/wiki/Tsukudani
/wiki/Green_tea,/wiki/Tsukune
/wiki/Green_tea,/wiki/Yakiniku
/wiki/Green_tea,/wiki/Yakitori
/wiki/Green_tea,/wiki/Okazu
/wiki/Green_tea,/wiki/Agedashi_d%C5%8Dfu
/wiki/Green_tea,/wiki/Anpan
/wiki/Green_tea,/wiki/Curry_bread
/wiki/Green_tea,/wiki/Melonpan
/wiki/Green_tea,/wiki/Water_roux
/wiki/Green_tea,/wiki/Gari_(ginger)
/wiki/Green_tea,/wiki/Korokke
/wiki/Green_tea,/wiki/Miso_soup
/wiki/Green_tea,/wiki/Namasu
/wiki/Green_tea,/wiki/Natt%C5%8D
/wiki/Green_tea,/wiki/Nukazuke
/wiki/Green_tea,/wiki/Satsuma-age
/wiki/Green_tea,/wiki/Shiokara
/wiki/Green_tea,/wiki/Takuan
/wiki/Green_tea,/wiki/Tsukemono
/wiki/Green_tea,/wiki/Aquarius_(beverage)
/wiki/Green_tea,/wiki/Calpis
/wiki/Green_tea,/wiki/Canned_coffee
/wiki/Green_tea,/wiki/Boss_Coffee
/wiki/Green_tea,/wiki/Georgia_(coffee)
